model,p,param_crit,N,ns,r,c,c_prime,verdict
E-model,,0.018956,50,0.9601,9.0252e-05,0.00336,0.01992,excluded
E-model,,0.017612,60,0.9668,5.8325e-05,0.00270,0.01661,excluded
E-model,,0.016591,70,0.9715,4.0411e-05,0.00225,0.01424,allowed
hilltop,8,2.0566,50,0.9537,4.4564e-05,0.00236,0.02315,excluded
hilltop,8,2.0119,60,0.9614,2.7563e-05,0.00186,0.01932,excluded
hilltop,8,1.9770,70,0.9668,1.8406e-05,0.00152,0.01658,excluded
hilltop,12,2.6993,50,0.9563,5.9942e-05,0.00274,0.02185,excluded
hilltop,12,2.6270,60,0.9635,3.7717e-05,0.00217,0.01823,excluded
hilltop,12,2.5705,70,0.9687,2.5556e-05,0.00179,0.01564,allowed
hilltop,20,4.0430,50,0.9580,7.3120e-05,0.00302,0.02098,excluded
hilltop,20,3.9176,60,0.9650,4.6520e-05,0.00241,0.01750,excluded
hilltop,20,3.8195,70,0.9700,3.1816e-05,0.00199,0.01501,allowed
